review,rating
"Excellent product, very happy with the purchase",5
"Great quality and fast delivery",5
"Worth the money, highly recommended",5
"Very satisfied, works perfectly",5
"Good product but packaging could be better",4
"Nice quality, but slightly expensive",4
"Product is decent for the price",4
"Average performance, nothing special",3
"Okay product, not too good not too bad",3
"Does the job but expected better quality",3
"Not satisfied with the product",2
"Poor quality, stopped working in a week",1
"Waste of money, very disappointed",1
"Terrible experience, will not buy again",1
"Bad product, customer service was unhelpful",1
"Excellent build quality and design",5
"Highly impressed with the performance",5
"Product arrived late but quality is good",4
"Average product, delivery was delayed",3
"Very poor packaging and damaged item",1
"Good value for money",4
"Works as expected, no complaints",4
"Quality is okay but not premium",3
"Not worth the price",2
"Extremely bad experience",1
"Amazing product, exceeded expectations",5
"Best purchase I have made",5
"Decent product, could be improved",3
"Product quality is not consistent",2
"Very happy with customer support",4
"Stopped working after few uses",1
"Fantastic performance and durability",5
"Looks good but performance is average",3
"Cheap quality materials used",2
"Loved the product, will recommend",5
"Not satisfied, expected much better",2
